Car ID	Make	Make (Full Name)	Model	Model (Full Name)	Manufacture Year	Age	 Miles 	 Miles / Year 	Color	Driver	Warantee Miles	Covered?	New Car ID
TY96CAM020	TY	TOYOTA	CAM	Camrey	96	27	" 114,660.60 "	" 4,246.69 "	Green	Chan	100000	Not Covered	TY96CAMGRE020
CR04CAR047	CR	CHRYSLER	CAR	Caravan	04	19	" 72,527.20 "	" 3,817.22 "	White	Bard	75000	Yes	CR04CARWHI047
TY00CAM022	TY	TOYOTA	CAM	Camrey	00	23	" 85,928.00 "	" 3,736.00 "	Green	Ewenty	100000	Yes	TY00CAMGRE022
TY98CAM021	TY	TOYOTA	CAM	Camrey	98	25	" 93,382.60 "	" 3,735.30 "	Black	Swartz	100000	Yes	TY98CAMBLA021
TY03COR026	TY	TOYOTA	COR	Corola	03	20	" 73,444.40 "	" 3,672.22 "	Black	Gaul	100000	Yes	TY03CORBLA026
GM00SLV019	GM	GENERAL MOTORS	SLV	Silverado	00	23	" 80,685.80 "	" 3,508.08 "	Blue	Vizzini	100000	Yes	GM00SLVBLU019
TY09CAM024	TY	TOYOTA	CAM	Camrey	09	14	" 48,114.20 "	" 3,436.73 "	White	Howard	100000	Yes	TY09CAMWHI024
HO99CIV030	HO	HONDA	CIV	Civic	99	24	" 82,374.00 "	" 3,432.25 "	White	Rodriguez	75000	Not Covered	HO99CIVWHI030
CR04PTC042	CR	CHRYSLER	PTC	Odyssey	04	19	" 64,542.00 "	" 3,396.95 "	Blue	Smith	75000	Yes	CR04PTCBLU042
CR00CAR046	CR	CHRYSLER	CAR	Caravan	00	23	" 77,243.10 "	" 3,358.40 "	Black	Jones	75000	Not Covered	CR00CARBLA046
HO05ODY037	HO	HONDA	ODY	Odyssey	05	18	" 60,389.50 "	" 3,354.97 "	White	Howard	100000	Yes	HO05ODYWHI037
GM98SLV018	GM	GENERAL MOTORS	SLV	Silverado	98	25	" 83,162.70 "	" 3,326.51 "	Black	Santos	100000	Yes	GM98SLVBLA018
CR99CAR045	CR	CHRYSLER	CAR	Caravan	99	24	" 79,420.60 "	" 3,309.19 "	Green	Hulinski	75000	Not Covered	CR99CARGRE045
